id,computer_name,guest_flag,os,status,timestamp,user_hash
796129,LIBRWKNONPBF5A,f,Windows_NT,logout,2014-02-10 18:17:34.685,30sGsjPLMxRqGBTJlVrPaQ==
798208,LIBRWKMCKP1F60H,t,Windows_NT,logout,2014-02-05 22:01:49.725,GahjKCrIMdcZkfOp9Djxkg==
796277,LIBRWKMCKP1F58H,f,Windows_NT,logout,2014-02-05 21:05:21.038,jHL/43ZZKFGMONvy/CtjOg==
850453,LIBRWKMCKRE-763,f,Windows_NT,logout,2014-02-11 06:15:46.871,lbgxW9j1xJ/9lNgnzF7Okw==
796178,LIBRWKNONPBF1A,f,Windows_NT,logout,2014-02-10 18:15:31.131,gF/VsBgDwTiQPfniRHLKYA==
796365,LIBRWKNONPBF19A,f,Windows_NT,logout,2014-02-10 17:48:39.89,lrb1yPmb091Rvhda/ml1Ag==
796334,LIBRWKNONPBF24A,f,Windows_NT,logout,2014-02-10 19:22:48.355,0zD5IG1diyxUbgfqMxOmqw==
850450,LIBRWKNONPBF9X,f,Windows_NT,logout,2014-04-28 17:25:08.05,uSfWE1yfZUCEAktZL2KfJw==
796195,LIBRWKMCKP1F20H,f,Windows_NT,logout,2014-01-24 16:52:24.672,L43I0hJd/NZdt4l7cEOlng==
805391,LIBRWKMCKP1F68H,f,Windows_NT,logout,2014-02-05 22:31:50.579,EEDHfWMNKkjLuAzuL0MjWQ==
796171,LIBRWKMCKP1F77H,t,Windows_NT,logout,2014-02-05 22:32:21.862,z9yx6Cxrc6Ejt4Gd0Wj8wA==
796374,LIBRWKNONPBF2A,f,Windows_NT,logout,2014-02-10 21:58:32.38,uoyO7yzkp16yZEhbqrv2rg==
835366,LIBRWKARCP1F5A,f,Windows_NT,logout,2014-04-28 19:28:40.965,agkgC+MGX4tnrgRM5gPQAw==
832283,LIBRWKARTP1F3H,f,Windows_NT,logout,2014-02-18 11:03:48.647,UeYXKQYUiUUBcOxf/NuuXQ==
873554,LIBRWKEPLPBF2X,f,Windows_NT,logout,2014-04-28 22:51:01.364,vNzmNWn3F79LacaujntwTA==
850465,LIBRWKMCKRE-2712,f,Windows_NT,logout,2014-02-11 06:25:45.623,lbgxW9j1xJ/9lNgnzF7Okw==
843493,LIBRWKMCKDEL-844,f,Windows_NT,login,2014-02-18 16:50:04.82,lbgxW9j1xJ/9lNgnzF7Okw==
796318,LIBRWKEPLP1F25D,f,Windows_NT,logout,2014-01-08 13:34:18.649,+wqVyVayBdEegSm3hkOqkw==
796255,LIBRWKMCKP1F78H,f,Windows_NT,login,2014-01-21 19:36:27.528,lbgxW9j1xJ/9lNgnzF7Okw==
1061577,LIBRWKMCKDEL-133,f,Windows_NT,logout,2014-04-10 02:23:08.102,lbgxW9j1xJ/9lNgnzF7Okw==
